Id,Player,Position,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
176,Gabriel Jesus,4,12,28,21,1878,8,64,25,1,45,8,627,38,26,26,1,0,27,18,11,0
177,I. Gundogan,3,12,27,20,1856,8,55,19,0,24,4,1157,38,13,10,1,0,24,23,12,0
178,K. Walker,2,12,20,20,1755,0,8,2,0,7,2,1353,12,7,12,1,0,20,15,10,0
179,R. Mahrez,3,12,28,15,1491,11,61,23,4,26,5,741,40,10,15,0,0,9,11,7,0
180,J. Stones,2,12,14,12,1118,1,9,5,0,8,0,892,4,3,6,0,0,14,5,9,0
181,David de Gea,1,13,38,38,3420,0,0,0,0,0,0,543,0,0,1,0,0,0,0,8,127
182,Bruno Fernandes,3,13,36,35,3118,10,89,29,0,26,6,1488,89,33,47,10,0,45,54,8,0
183,H. Maguire,2,13,30,28,2514,1,23,10,0,4,0,1350,4,21,19,7,1,53,34,6,0
184,C. Ronaldo,4,13,30,27,2458,18,110,43,3,20,3,720,26,16,18,8,0,8,8,7,0
185,S. McTominay,3,13,30,28,2392,1,27,7,0,36,1,1055,23,55,33,9,0,64,65,6,0
186,V. Lindelof,2,13,28,26,2355,0,3,2,0,3,2,1209,4,19,6,4,0,36,16,6,0
187,Fred,3,13,28,24,2035,4,15,9,0,21,4,1129,28,31,30,5,0,59,63,7,0
188,J. Sancho,4,13,29,20,1902,3,26,9,0,47,3,781,41,4,7,0,0,23,14,4,0
189,R. Varane,2,13,22,20,1829,1,9,1,0,2,1,1011,4,5,7,0,0,37,28,5,0
190,Diogo Dalot,2,13,24,19,1799,0,13,4,0,17,0,771,16,18,4,4,0,70,55,5,0
191,A. Wan-Bissaka,2,13,20,20,1794,0,5,1,0,36,0,759,14,15,13,2,0,70,49,3,0
192,Alex Telles,2,13,21,18,1660,0,10,3,0,12,4,751,26,23,9,1,0,53,48,5,0
193,L. Shaw,2,13,20,19,1602,0,6,1,0,7,3,777,39,32,16,8,0,22,21,3,0
194,N. Matic,3,13,23,16,1382,0,6,1,0,17,4,905,13,26,3,3,0,49,31,2,0
195,P. Pogba,3,13,20,16,1354,1,32,8,0,39,9,732,24,39,29,7,1,22,13,2,0
196,M. Targett,2,14,33,33,2873,1,13,6,0,10,1,884,40,24,23,3,0,91,75,9,0
197,A. Saint-Maximin,3,14,35,31,2809,5,64,26,0,150,5,515,50,22,48,6,0,19,13,7,0
198,C. Wood,4,14,34,32,2705,5,51,19,1,6,0,346,19,33,17,1,0,7,9,7,0
199,Joelinton,4,14,35,30,2558,4,45,14,0,37,1,707,29,64,33,8,0,72,72,7,0
200,D. Burn,2,14,29,28,2462,1,18,5,0,0,1,977,6,26,6,8,0,66,37,9,0
201,M. Dubravka,1,14,26,26,2340,0,0,0,0,0,0,447,2,0,5,1,0,1,1,8,73
202,F. Schar,2,14,25,25,2161,2,21,8,0,6,2,686,9,24,11,4,0,43,16,6,0
203,J. Lascelles,2,14,26,22,2055,1,17,4,0,1,0,515,4,17,4,5,0,29,15,3,0
204,J. Willock,3,14,29,24,2042,2,35,11,0,36,0,444,18,34,26,0,0,58,64,5,0
205,J. Shelvey,3,14,24,22,1985,2,30,14,0,9,1,731,16,18,8,5,1,39,30,6,0
206,M. Almiron,3,14,30,19,1720,1,32,7,0,27,0,397,17,17,25,2,0,49,47,4,0
207,E. Krafth,2,14,20,18,1635,0,6,2,0,2,1,433,6,22,11,5,0,42,39,5,0
208,R. Fraser,3,14,27,18,1470,2,24,8,0,1,3,299,25,10,24,3,0,13,8,3,0
209,S. Longstaff,3,14,24,15,1461,1,15,2,0,6,1,478,7,14,17,1,0,43,54,2,0
210,J. Murphy,3,14,33,13,1459,1,27,5,0,13,2,291,20,16,15,4,0,49,49,2,0
211,T. Pukki,4,15,37,37,3260,11,71,27,3,27,3,394,27,31,25,4,0,15,23,6,0
212,G. Hanley,2,15,33,33,2899,1,20,4,0,1,0,1089,6,22,22,2,0,81,44,6,0
213,M. Aarons,2,15,34,32,2882,0,13,2,0,34,2,847,20,27,52,8,0,72,64,4,0
214,K. McLean,3,15,31,29,2706,1,33,6,0,19,0,771,10,16,38,3,0,56,42,6,0
215,T. Krul,1,15,29,29,2610,0,0,0,0,0,0,591,1,0,0,1,0,1,1,5,106
216,B. Gibson,2,15,28,28,2495,0,8,4,0,5,0,1111,3,12,9,3,1,43,23,6,0
217,P. Lees Melou,3,15,33,27,2270,1,33,9,0,19,0,788,25,35,23,5,0,61,58,5,0
218,M. Rashica,4,15,31,25,2236,1,44,17,0,16,2,325,36,23,47,0,0,34,31,4,0
219,B. Williams,2,15,26,23,2123,0,4,1,0,20,1,764,21,23,44,8,0,81,55,2,0
220,B. Gilmour,3,15,24,21,1858,0,18,3,0,15,1,949,25,28,22,2,0,38,41,2,0
221,M. Normann,3,15,23,20,1652,1,26,5,0,17,2,536,13,37,28,6,0,40,34,4,0
222,J. Sargent,4,15,26,18,1578,2,24,3,0,16,1,286,11,9,23,1,0,25,26,4,0
223,D. Giannoulis,2,15,18,14,1166,0,2,1,0,29,1,423,9,16,22,2,0,40,36,4,0
224,S. Byram,2,15,15,11,1024,0,7,2,0,3,0,340,4,12,4,3,0,37,24,2,0
225,O. Kabak,2,15,11,11,924,0,4,2,0,16,0,349,2,10,9,2,0,21,10,2,0
226,J. Ward-Prowse,3,16,36,36,3217,10,55,24,4,12,5,1578,71,22,15,3,1,64,41,7,0
227,M. Salisu,2,16,34,33,2972,0,24,10,0,13,0,1356,9,38,7,8,1,125,80,6,0
228,Oriol Romeu,3,16,36,34,2895,2,24,4,0,30,2,1372,37,46,24,9,0,90,77,7,0
229,K. Walker-Peters,2,16,32,29,2632,1,26,7,0,64,2,885,24,27,47,5,0,70,57,6,0
230,J. Bednarek,2,16,31,30,2631,4,19,7,0,1,0,1181,6,30,15,10,0,87,32,7,0
231,V. Livramento,3,16,28,25,2203,1,12,3,0,30,1,712,20,12,36,2,0,75,54,7,0
232,M. Elyounoussi,3,16,30,23,2043,4,43,19,0,28,2,426,28,28,18,4,0,29,36,8,0
233,C. Adams,4,16,30,23,2041,7,49,24,0,20,3,303,26,29,40,0,0,13,13,5,0
234,A. Broja,4,16,32,21,1978,6,45,21,0,33,0,243,10,29,26,2,0,8,12,4,0
235,N. Redmond,3,16,27,20,1832,1,26,9,0,21,5,490,34,16,15,0,0,22,22,4,0
236,F. Forster,1,16,19,19,1710,0,0,0,0,0,0,290,0,0,3,1,0,0,1,3,68
237,R. Perraud,2,16,20,18,1625,0,19,3,0,8,1,377,8,31,16,3,0,39,34,3,0
238,A. McCarthy,1,16,17,17,1530,0,0,0,0,0,0,242,1,0,0,1,0,0,0,5,44
239,S. Armstrong,3,16,25,15,1468,2,38,9,0,27,0,573,25,11,20,1,0,27,27,3,0
240,A. Armstrong,4,16,23,17,1414,2,47,14,0,16,2,227,13,13,6,1,0,7,10,4,0
241,H. Lloris,1,17,38,38,3420,0,0,0,0,0,0,609,2,0,2,2,0,2,1,16,97
242,H. Kane,4,17,37,36,3232,17,133,55,4,54,9,614,50,42,54,5,0,8,15,14,0
243,P. Hojbjerg,3,17,36,36,3198,2,31,11,0,42,2,2270,25,28,39,3,0,93,78,16,0
244,E. Dier,2,17,35,35,3072,0,13,5,0,1,0,2049,7,12,9,1,0,36,15,16,0
245,Son Heung-Min,4,17,35,35,3019,23,86,49,0,51,7,879,72,14,36,2,0,19,15,16,0
246,B. Davies,2,17,29,28,2539,1,18,7,0,7,1,1345,11,31,18,6,0,51,36,12,0
247,Emerson,2,17,31,26,2289,1,15,4,0,17,1,935,28,28,45,5,0,69,72,9,0
248,Reguilon,2,17,25,22,1922,2,21,9,0,19,3,606,29,22,24,4,0,55,40,9,0
249,C. Romero,2,17,22,21,1846,1,6,2,0,9,0,1141,6,28,15,8,0,72,62,5,0
250,Lucas Moura,4,17,34,19,1772,2,37,12,0,56,6,556,34,20,37,4,0,28,25,8,0
251,D. Sanchez,2,17,23,17,1626,2,13,3,0,4,0,989,5,16,11,4,0,52,41,10,0
252,R. Bentancur,3,17,17,16,1365,0,14,2,0,14,4,906,15,22,13,5,0,38,36,7,0
253,O. Skipp,3,17,18,14,1348,0,4,1,0,4,0,761,8,16,16,6,0,31,33,8,0
254,D. Kulusevski,3,17,18,14,1265,5,26,10,0,25,8,393,25,20,15,3,0,26,19,7,0
255,R. Sessegnon,2,17,15,13,1052,0,6,1,0,6,2,248,14,19,7,2,0,26,25,6,0
256,M. Sissoko,3,18,36,36,3221,2,25,8,0,52,1,896,36,36,11,5,0,57,53,4,0
257,E. Dennis,4,18,33,30,2589,10,60,26,0,68,6,393,33,59,40,7,1,50,51,2,0
258,C. Cathcart,2,18,31,27,2395,0,3,0,0,0,1,734,3,13,4,3,0,43,32,3,0
259,B. Foster,1,18,26,26,2340,0,0,0,0,1,1,354,1,1,3,0,0,0,0,4,70
260,J. King,4,18,32,27,2249,5,50,17,1,30,3,364,35,42,21,5,0,23,19,3,0
261,Kiko Femenia,2,18,27,26,2149,0,3,1,0,7,5,646,25,12,13,2,0,59,35,2,0
262,J. Kucka,3,18,26,22,1923,1,46,11,0,17,1,466,10,46,49,3,1,66,59,1,0
263,I. Sarr,3,18,22,21,1864,5,39,17,0,34,2,321,21,17,47,2,0,16,12,2,0
264,Joao Pedro,4,18,28,15,1638,3,47,16,0,62,1,383,19,13,30,1,0,29,20,2,0
265,H. Kamara,2,18,19,18,1625,1,5,1,0,15,0,499,10,24,16,3,1,103,53,3,0
266,T. Cleverley,3,18,28,20,1623,0,12,7,0,3,2,456,20,28,19,2,0,38,37,2,0
267,I. Louza,3,18,20,17,1419,0,17,4,0,14,0,504,15,24,13,6,0,63,41,2,0
268,W. Troost-Ekong,2,18,17,15,1388,0,2,0,0,1,0,464,1,13,2,3,0,16,18,0,0
269,C. Kabasele,2,18,16,12,1190,0,7,0,0,1,0,368,2,5,3,0,0,19,11,1,0
270,J. Hernandez,4,18,25,11,1140,5,34,11,0,18,2,221,20,13,12,3,0,10,13,0,0
271,L. Fabianski,1,19,37,37,3330,0,0,0,0,0,0,503,0,1,5,2,0,0,0,8,114
272,D. Rice,3,19,36,35,3178,1,26,8,0,50,4,1973,24,28,10,8,0,105,80,8,0
273,T. Soucek,3,19,35,34,3062,5,45,12,0,10,1,1029,21,39,18,3,0,84,66,6,0
274,J. Bowen,3,19,36,34,2987,12,79,34,0,50,10,544,41,25,43,6,0,41,36,8,0
275,M. Antonio,4,19,36,34,2975,10,83,29,0,50,8,415,45,50,52,6,1,20,23,7,0
276,Pablo Fornals,3,19,36,32,2799,6,43,12,0,23,3,1027,48,24,28,4,0,55,54,7,0
277,C. Dawson,2,19,34,30,2754,2,25,6,0,4,2,1032,4,39,12,4,1,46,29,6,0
278,A. Cresswell,2,19,31,31,2728,2,18,4,0,8,3,1412,31,14,10,3,0,53,28,7,0
279,V. Coufal,2,19,28,25,2211,0,11,5,0,15,4,747,21,29,15,3,1,47,45,5,0
280,S. Benrahma,4,19,32,26,2184,8,63,22,0,37,6,618,32,9,15,0,0,26,28,6,0
281,K. Zouma,2,19,24,24,2080,1,6,3,0,1,0,873,2,11,6,1,0,40,11,5,0
282,M. Lanzini,3,19,30,19,1787,5,16,7,3,25,3,1105,23,11,18,2,0,34,28,4,0
283,B. Johnson,2,19,20,16,1398,1,5,1,0,7,0,398,9,10,4,1,0,38,33,3,0
284,I. Diop,2,19,13,10,962,0,2,2,0,0,1,406,1,5,5,0,0,15,10,2,0
285,A. Ogbonna,2,19,11,11,922,1,3,1,0,1,0,404,0,5,3,1,0,15,7,3,0
286,C. Coady,2,20,38,38,3363,4,12,4,0,1,0,1514,3,20,1,5,0,42,31,11,0
287,Jose Sa,1,20,37,37,3285,0,0,0,0,4,1,560,3,3,12,3,0,3,2,11,121
288,Joao Moutinho,3,20,35,34,2975,2,20,7,0,16,1,1665,39,36,15,4,0,73,74,10,0
289,R. Saiss,2,20,31,31,2708,2,18,6,0,7,0,1426,7,30,15,6,0,85,40,11,0
290,M. Kilman,2,20,30,30,2688,1,13,4,0,17,0,1306,3,17,11,3,0,71,50,10,0
291,Ruben Neves,3,20,33,31,2662,4,42,16,0,26,2,1621,25,25,12,9,0,78,68,9,0
292,R. Jimenez,4,20,34,30,2637,6,57,16,1,36,4,538,38,43,48,5,2,27,29,10,0
293,Nelson Semedo,2,20,25,25,2137,0,19,4,0,39,1,706,18,23,24,1,0,60,58,8,0
294,L. Dendoncker,3,20,30,21,1946,2,23,10,0,5,2,706,11,13,6,4,0,26,42,5,0
295,R. Ait Nouri,2,20,23,20,1827,1,13,4,0,42,2,578,17,14,20,4,0,58,64,5,0
296,Hwang Hee-Chan,4,20,30,20,1819,5,27,12,0,33,1,507,16,29,42,2,0,26,27,5,0
297,Daniel Podence,4,20,26,15,1481,2,35,15,0,35,3,427,36,8,25,2,0,21,18,8,0
298,Fernando Marcal,2,20,18,17,1453,0,11,1,0,7,0,536,10,29,9,3,0,50,42,6,0
299,Trincao,4,20,28,16,1339,2,32,14,0,44,1,345,14,13,22,0,0,27,28,4,0
300,Jonny Castro,2,20,13,10,1022,2,10,5,0,14,0,421,11,10,16,1,0,28,25,2,0
